IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4010a5,rax,258367007,245,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,95.439939,81.08108108108108,18.91891891891892
4010ad,rdx,258633978,717,crash,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",0,1,95.538603,80.95238095238095,19.047619047619047
401175,rax,258769574,158,masked,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",1,0,95.588715,80.82191780821918,19.17808219178082
401180,rflags,258825650,366,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,95.609439,80.6896551724138,19.310344827586206
4010a5,rax,259039038,651,crash,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",0,1,95.688301,80.55555555555556,19.444444444444443
4010a0,xmm0,259070483,50,masked,<lud_omp._omp_fn.1>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,95.699922,80.41958041958041,19.58041958041958
401182,xmm1,259114171,194,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,95.716068,80.28169014084507,19.718309859154928
4010b0,rflags,259339530,231,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,95.799353,80.1418439716312,19.858156028368793
4010b2,xmm1,260747719,484,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,96.319776,80.0,20.0
401182,xmm1,260794671,910,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,96.337128,79.85611510791367,20.14388489208633
401182,xmm1,261530394,641,masked,<lud_omp._omp_fn.0>,subss,"subss, %xmm0,%xmm1",1,0,96.609029,79.71014492753623,20.28985507246377
40117d,rdx,261750226,368,crash,<lud_omp._omp_fn.0>,add,"add, %rsi,%rdx",0,1,96.690272,79.56204379562044,20.437956204379564
4010b0,rflags,262296334,182,masked,<lud_omp._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,96.892097,80.1470588235294,19.852941176470587
4010b2,xmm1,262807010,283,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,97.080827,80.0,20.0
4010a5,rax,262867902,431,crash,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",0,1,97.103331,79.85074626865672,20.149253731343283
40117d,rdx,262956709,990,crash,<lud_omp._omp_fn.0>,add,"add, %rsi,%rdx",0,1,97.136151,79.69924812030075,20.30075187969925
4010ad,rdx,263224005,711,masked,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",1,0,97.234935,79.54545454545455,20.454545454545453
4010a0,xmm0,263469414,712,masked,<lud_omp._omp_fn.1>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,97.325631,79.38931297709924,20.610687022900763
4010a5,rax,263652508,260,crash,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",0,1,97.393297,80.0,20.0
401175,rax,263813981,635,masked,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",1,0,97.452972,79.84496124031008,20.155038759689923
401179,xmm0,264106192,543,masked,<lud_omp._omp_fn.0>,mulss,"mulss, (%rdx),%xmm0",1,0,97.560964,79.6875,20.3125
4010a0,xmm0,264322130,460,masked,<lud_omp._omp_fn.1>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,97.640768,79.5275590551181,20.47244094488189
4010a5,rax,264813704,741,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,97.822439,80.15873015873017,19.841269841269842
