IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4009a5,rax,18355083,4526,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.671796,47.2636815920398,52.7363184079602
40097f,rdx,18365373,11056,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x38(%rsp),%rdx",0,1,7.676105,47.76119402985075,52.23880597014925
400984,rsi,18379570,535,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,7.682051,47.76119402985075,52.23880597014925
4009c1,rflags,18397117,13776,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,7.689399,47.76119402985075,52.23880597014925
4009b6,rax,18400287,9947,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x38(%rsp),%eax",1,0,7.690727,47.2636815920398,52.7363184079602
400978,rdi,18408363,6609,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",0,1,7.694109,47.2636815920398,52.7363184079602
400978,rdi,18412952,1679,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",0,1,7.696031,47.2636815920398,52.7363184079602
4009c1,rflags,18463274,2137,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,7.717105,47.76119402985075,52.23880597014925
4009a5,rax,18528776,1711,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.744536,48.25870646766169,51.74129353233831
4009c1,rflags,18539831,5825,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,7.749166,48.25870646766169,51.74129353233831
40097f,rdx,18551832,4057,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x38(%rsp),%rdx",0,1,7.754192,48.756218905472636,51.243781094527364
4009a5,rax,18567711,1921,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.760842,48.25870646766169,51.74129353233831
400984,rsi,18578561,13244,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,7.765386,48.25870646766169,51.74129353233831
400984,rsi,18581603,14028,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.76666,47.76119402985075,52.23880597014925
4009b1,rcx,18585198,289,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",0,1,7.768165,48.25870646766169,51.74129353233831
4009a0,rdx,18619528,14105,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.782542,47.76119402985075,52.23880597014925
400978,rdi,18655857,13199,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",0,1,7.797756,47.76119402985075,52.23880597014925
