IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
40c910,xmm0,256427128,12386,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,mulsd,"mulsd, (%rdi,%rdx,8),%xmm0",1,0,94.974488,72.636815920398,27.36318407960199
40c909,rax,256430602,2581,crash,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,add,"add, $0x4,%rax",0,1,94.975775,72.636815920398,27.36318407960199
40c90d,rflags,256438830,10396,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,cmp,"cmp, %r8,%rax",1,0,94.978823,72.636815920398,27.36318407960199
40c904,xmm0,256441785,2534,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.979917,72.636815920398,27.36318407960199
40c904,xmm0,256464495,1079,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.988329,73.13432835820896,26.865671641791046
40c904,xmm0,256464931,1731,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.98849,72.636815920398,26.865671641791046
40c915,xmm1,256472724,1854,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,addsd,"addsd, %xmm0,%xmm1",1,0,94.991377,72.636815920398,26.865671641791046
40c904,xmm0,256474590,14267,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.992068,72.636815920398,26.865671641791046
40c915,xmm1,256475211,2466,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,addsd,"addsd, %xmm0,%xmm1",1,0,94.992298,72.636815920398,26.865671641791046
40c904,xmm0,256491800,5033,masked,<_ZN6miniFE8cg_solveINS_9CSRMatrixIdiiEENS_6VectorIdiiEENS_10matvec_stdIS2_S4_EEEEvRT_RKT0_RS9_T1_NS7_16LocalOrdinalTypeERNS_10TypeTraitsINS7_10ScalarTypeEE14magnitude_typeERSE_SJ_Pd>,movsd,"movsd, (%rsi,%rax,2),%xmm0",1,0,94.998443,72.636815920398,26.865671641791046
