IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400fe8,xmm0,52504255,163,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,25.625715,62.6865671641791,37.3134328358209
400cc5,rdx,52552914,1673,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",0,1,25.649478,62.6865671641791,37.3134328358209
4012e7,rcx,52639013,1705,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,25.691526,63.18407960199005,36.81592039800995
4012eb,rdx,52703537,2059,crash,<bpnn_create>,cmp,"cmp, %ecx,%ebx",0,1,25.723037,62.6865671641791,37.3134328358209
400da6,rdx,52710781,931,crash,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",0,1,25.726575,62.18905472636816,37.81094527363184
400ff8,xmm1,52805729,2696,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,25.772945,61.691542288557216,38.308457711442784
400fe0,xmm0,52857824,2992,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,25.798386,61.19402985074627,38.80597014925373
400f19,xmm0,52903978,717,masked,<alloc_1d_dbl>,test,"test, %rax,%rax",1,0,25.820926,61.19402985074627,38.80597014925373
400da1,xmm0,52919776,481,masked,<bpnn_layerforward._omp_fn.0>,mulss,"mulss, (%rsi,%rax,4),%xmm0",1,0,25.828641,61.19402985074627,38.80597014925373
4012eb,xmm0,52926556,479,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,25.831953,61.19402985074627,38.80597014925373
400d98,rbp,53013455,2645,crash,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",0,1,25.874391,61.19402985074627,38.80597014925373
4011fc,rflags,53044445,882,masked,<bpnn_free>,mov,"mov, (%rax,%rbp,8),%rdi",1,0,25.889526,61.19402985074627,38.80597014925373
400d98,rflags,53120039,1644,crash,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",0,1,25.926443,61.691542288557216,38.308457711442784
400fe4,xmm0,53267640,1057,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,25.998527,61.691542288557216,38.308457711442784
400cb0,xmm0,53358772,837,crash,<bpnn_adjust_weights._omp_fn.1>,movss,"movss, (%r11),%xmm0",0,1,26.043032,62.18905472636816,37.81094527363184
4012e7,rax,53368712,1056,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,26.047887,62.18905472636816,37.81094527363184
4012e7,xmm0,53655944,2537,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,26.188161,62.18905472636816,37.81094527363184
400f89,rbx,53708083,1856,masked,<alloc_2d_dbl>,cmp,"cmp, %r12,%rbx",1,0,26.213624,62.6865671641791,37.3134328358209
4012e7,xmm1,53728109,1562,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,26.223404,62.6865671641791,37.3134328358209
400cd0,xmm0,53754840,3178,crash,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",0,1,26.236459,62.6865671641791,37.3134328358209
400cc5,xmm0,53828576,2268,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",0,1,26.272469,62.18905472636816,37.81094527363184
400cc5,rax,53836435,3243,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",0,1,26.276307,62.18905472636816,37.81094527363184
4012d8,rcx,53839933,3126,crash,<bpnn_create>,xor,"xor, %ecx,%ecx",0,1,26.278015,62.18905472636816,37.81094527363184
400cf4,rax,53882001,2633,crash,<bpnn_adjust_weights._omp_fn.1>,cvtpd2ps,"cvtpd2ps, %xmm0,%xmm0",0,1,26.29856,62.18905472636816,37.81094527363184
400fe0,rdx,53947142,1224,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,26.330373,62.6865671641791,37.3134328358209
400cc5,rcx,54033653,2032,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",0,1,26.372622,63.18407960199005,36.81592039800995
400fe4,rflags,54081924,137,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,26.396196,63.18407960199005,36.81592039800995
400f19,xmm0,54237772,2887,crash,<alloc_1d_dbl>,test,"test, %rax,%rax",0,1,26.472307,63.18407960199005,36.81592039800995
400cbb,rbx,54412317,554,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rdx",1,0,26.557549,63.18407960199005,36.81592039800995
400cc5,rflags,54538132,167,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,26.618993,62.6865671641791,37.3134328358209
