IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
461f4e,rax,5820824,1984,crash,,,,0,1,44.371514,38.80597014925373,57.711442786069654
470259,rflags,5820933,10094,masked,,,,1,0,44.372346,39.30348258706468,57.21393034825871
424b80,rsp,5821113,14280,crash,,,,0,1,44.373718,39.30348258706468,57.21393034825871
461858,rdi,5821548,3162,masked,,,,1,0,44.377035,39.80099502487562,57.21393034825871
40474a,xmm0,5822759,2276,masked,,,,1,0,44.386268,39.80099502487562,57.21393034825871
461e90,rsp,5823100,6928,crash,,,,0,1,44.388868,39.80099502487562,57.21393034825871
461f45,rdx,5823967,3971,masked,,,,1,0,44.395479,39.30348258706468,57.711442786069654
455c96,rsp,5824444,14182,masked,,,,1,0,44.399116,39.30348258706468,57.711442786069654
461855,rflags,5825986,2485,crash,,,,0,1,44.410873,38.80597014925373,58.208955223880594
4924f5,xmm1,5826081,11964,crash,,,,0,1,44.411598,38.80597014925373,58.208955223880594
47e2b4,xmm4,5826423,13656,crash,,,,0,1,44.414205,38.308457711442784,58.70646766169154
461f4e,rax,5827158,3612,masked,,,,1,0,44.41981,38.80597014925373,58.208955223880594
4276c6,rsp,5827671,7118,crash,,,,0,1,44.423721,39.30348258706468,57.711442786069654
4857e4,rcx,5827869,4502,crash,,,,0,1,44.425231,39.30348258706468,57.711442786069654
480376,rflags,5828114,9449,crash,,,,0,1,44.427099,38.80597014925373,58.208955223880594
47ff80,rsp,5828442,11635,crash,,,,0,1,44.4296,38.80597014925373,58.208955223880594
461e90,rdi,5829558,11334,crash,,,,0,1,44.438109,38.308457711442784,58.208955223880594
48036e,rcx,5829799,9606,crash,,,,0,1,44.439947,38.308457711442784,58.208955223880594
424b80,r9,5830464,13790,crash,,,,0,1,44.445017,38.80597014925373,57.711442786069654
411a08,rflags,5830990,2359,crash,,,,0,1,44.449028,39.30348258706468,57.21393034825871
4576e8,rflags,5831096,5937,crash,,,,0,1,44.449836,38.80597014925373,57.711442786069654
4924f9,r12,5831135,2576,masked,,,,1,0,44.450133,39.30348258706468,57.21393034825871
461f48,rdx,5831515,3131,masked,,,,1,0,44.453031,38.80597014925373,57.711442786069654
424b80,rsp,5831766,13961,masked,,,,1,0,44.454945,38.80597014925373,57.711442786069654
4858af,rflags,5832784,3354,masked,,,,1,0,44.462707,38.80597014925373,57.711442786069654
461f38,rflags,5832784,3354,masked,,,,1,0,44.462707,38.308457711442784,58.208955223880594
47e3d7,r8,5833644,2660,masked,,,,1,0,44.469264,38.308457711442784,58.208955223880594
461e90,rdx,5833759,11205,masked,,,,1,0,44.470141,37.81094527363184,58.70646766169154
492490,rsi,5833929,4881,masked,,,,1,0,44.471437,37.81094527363184,58.70646766169154
461e90,rcx,5835434,11573,masked,,,,1,0,44.482912,37.81094527363184,58.70646766169154
457720,rdi,5835685,168,masked,,,,1,0,44.484826,38.308457711442784,58.208955223880594
46fd08,r14,5836072,10193,crash,,,,0,1,44.487777,38.308457711442784,58.70646766169154
46fd78,rax,5837407,3989,masked,,,,1,0,44.497956,37.81094527363184,59.20398009950249
47ff80,rsp,5838050,6882,masked,,,,1,0,44.502859,37.81094527363184,59.20398009950249
4702e9,xmm0,5838251,1540,masked,,,,1,0,44.504391,37.81094527363184,59.20398009950249
4284cb,rdx,5838261,9577,crash,,,,0,1,44.504467,37.81094527363184,59.20398009950249
425224,rflags,5838668,10235,crash,,,,0,1,44.507571,37.81094527363184,59.20398009950249
486e69,rsp,5839347,1128,masked,,,,1,0,44.512748,38.308457711442784,58.70646766169154
411a04,rax,5839347,1128,masked,,,,1,0,44.512748,38.308457711442784,58.70646766169154
461f41,rsp,5839655,7746,crash,,,,0,1,44.515096,37.81094527363184,59.20398009950249
4115f2,rsp,5839712,12481,sdc,,,,0,0,44.515531,38.308457711442784,58.70646766169154
484f24,rsi,5840029,5554,masked,,,,1,0,44.517948,38.308457711442784,58.70646766169154
4703e7,rdx,5840752,2769,masked,,,,1,0,44.523461,38.308457711442784,58.70646766169154
4251c2,rsp,5841073,2521,crash,,,,0,1,44.525908,38.80597014925373,58.208955223880594
492569,rcx,5843829,1814,sdc,,,,0,0,44.546922,38.80597014925373,58.208955223880594
461f3d,rcx,5844263,4484,crash,,,,0,1,44.550231,38.80597014925373,58.208955223880594
484f61,rsp,5844791,2871,masked,,,,1,0,44.554257,38.80597014925373,58.208955223880594
46fd81,rax,5844820,4593,masked,,,,1,0,44.554478,38.80597014925373,58.208955223880594
426a5c,rdx,5845417,9471,crash,,,,0,1,44.55903,38.80597014925373,58.208955223880594
41590a,rsp,5846661,10221,crash,,,,0,1,44.568515,38.308457711442784,58.70646766169154
4115d6,xmm0,5847538,1660,crash,,,,0,1,44.575202,38.308457711442784,58.70646766169154
4115c6,rbx,5848414,3205,crash,,,,0,1,44.581882,38.308457711442784,58.70646766169154
411608,xmm0,5849026,13293,masked,,,,1,0,44.586548,38.308457711442784,58.70646766169154
424d2b,rdx,5849216,12031,crash,,,,0,1,44.587997,37.81094527363184,59.20398009950249
48036e,rax,5849637,788,crash,,,,0,1,44.591207,37.81094527363184,59.20398009950249
49261c,r9,5851492,3838,crash,,,,0,1,44.605351,37.81094527363184,59.20398009950249
425251,r11,5852144,10002,sdc,,,,0,0,44.610322,37.81094527363184,59.20398009950249
4572bf,rdx,5852144,10002,crash,,,,0,1,44.610322,38.308457711442784,58.70646766169154
46fd08,rflags,5852526,8740,masked,,,,1,0,44.613235,38.308457711442784,58.70646766169154
461e90,rflags,5853049,11324,crash,,,,0,1,44.617222,38.80597014925373,58.208955223880594
46ffe5,rax,5853177,14471,crash,,,,0,1,44.618198,38.80597014925373,58.208955223880594
426a58,rsp,5853261,498,crash,,,,0,1,44.618839,38.308457711442784,58.70646766169154
426da0,rdx,5853832,2504,masked,,,,1,0,44.623193,38.308457711442784,58.70646766169154
424b80,rdi,5853927,11607,crash,,,,0,1,44.623917,38.308457711442784,58.208955223880594
47030a,rsp,5854115,5828,crash,,,,0,1,44.62535,37.81094527363184,58.70646766169154
46162a,xmm1,5854947,7925,crash,,,,0,1,44.631694,37.81094527363184,58.70646766169154
47e3d0,rcx,5855043,14615,crash,,,,0,1,44.632426,37.81094527363184,58.70646766169154
461f9d,rax,5855631,306,masked,,,,1,0,44.63691,38.308457711442784,58.208955223880594
456b68,xmm2,5856100,10651,masked,,,,1,0,44.640486,38.80597014925373,57.711442786069654
492544,rcx,5856845,10790,crash,,,,0,1,44.646166,38.80597014925373,57.711442786069654
461f4e,rsp,5856867,8981,crash,,,,0,1,44.646334,38.308457711442784,58.208955223880594
461851,rflags,5856873,7910,crash,,,,0,1,44.64638,38.308457711442784,58.208955223880594
470120,xmm1,5857408,13234,crash,,,,0,1,44.650459,38.308457711442784,58.208955223880594
46202b,r8,5857408,13234,masked,,,,1,0,44.650459,38.80597014925373,57.711442786069654
48019a,rdi,5857408,13234,crash,,,,0,1,44.650459,38.80597014925373,57.711442786069654
4801a6,rflags,5857408,13234,masked,,,,1,0,44.650459,38.80597014925373,57.711442786069654
