IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42beb5,rdi,300105890,73,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,61.729766,26.865671641791046,8.457711442786069,64.67661691542288,91.54228855721394
42bec8,rdi,301336064,502,masked,<HPL_lmul>,cmp,"cmp, $0x1,%ecx",1,0,0,61.98395,26.3681592039801,8.457711442786069,65.17412935323384,91.54228855721394
42bdf8,r11,302138613,416,sdc,<HPL_ladd>,shr,"shr, $0x10,%r9d",0,0,1,62.149776,25.870646766169155,8.457711442786069,65.67164179104478,91.54228855721394
42be1d,r8,302516459,0,sdc,<HPL_ladd>,add,"add, %r10d,%r8d",0,0,1,62.227848,25.37313432835821,8.955223880597014,65.67164179104478,91.04477611940298
42be47,r10,302996849,273,masked,<HPL_lmul>,mov,"mov, 0x4(%rsi),%ebx",1,0,0,62.327108,25.37313432835821,8.955223880597014,65.67164179104478,91.04477611940298
42bed8,rsi,303353208,394,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,62.400741,25.37313432835821,8.955223880597014,65.67164179104478,91.04477611940298
42bf00,rflags,303817055,2,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,62.496583,25.37313432835821,9.45273631840796,65.17412935323384,90.54726368159204
42bebe,rbx,303822672,109,masked,<HPL_lmul>,mov,"mov, %esi,%ebx",1,0,0,62.497744,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42be9d,None,304759891,49,masked,<HPL_lmul>,imul,"imul, %r9d,%ebx",1,0,0,62.691396,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42bea3,xmm1,305117317,81,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,62.765249,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42be91,rflags,307167016,400,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,63.188767,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
420a8c,rsi,309582288,255,sdc,<HPL_rand>,mov,"mov, 0x4(%rsp),%eax",0,0,1,63.687821,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
42be4a,rbx,311242184,337,sdc,<HPL_lmul>,mov,"mov, (%rdi),%r11d",0,0,1,64.030797,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
42befc,rsi,311395618,21,sdc,<HPL_lmul>,add,"add, $0x4,%rax",0,0,1,64.0625,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
420ac8,rcx,312675051,306,crash,<HPL_rand>,add,"add, $0x18,%rsp",0,1,0,64.326862,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
420ad0,rflags,312956975,115,masked,<HPL_rand>,mulsd,"mulsd, %xmm0,%xmm1",1,0,0,64.385114,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
